regime,model,n_predictions,rmse_log,mae_log,smape
linear,linear,96,0.042781890549721216,0.033497855968770945,0.03348775386185737
linear,exponential,96,0.08788376590207496,0.0762918980922364,0.07621802479742464
linear,accelerating,96,0.05847174989803799,0.04726420828599905,0.04723910320019353
linear,decaying_acceleration,96,0.054403398634994035,0.04374535718575384,0.04372489247407841
linear,logistic,96,0.054500341040211064,0.04415465113018278,0.044134415202830284
linear,change_point,96,0.06536345358667989,0.051898198763968194,0.05185820946262479
linear,model_average,96,0.049503786683511006,0.039154128184682765,0.03913859254148841
exponential,linear,96,0.13633393944329628,0.1158668543377575,0.11558572657499859
exponential,exponential,96,0.05360660140044929,0.048380619670421066,0.048364573766101406
exponential,accelerating,96,0.06000767011951475,0.04962347647219628,0.0495966901990873
exponential,decaying_acceleration,96,0.056169571833985694,0.048207395419733456,0.04818763459269213
exponential,logistic,96,0.0548933849950844,0.047436440485765265,0.04741817194945517
exponential,change_point,96,0.07777911502138504,0.06384370365588604,0.06378286880181873
exponential,model_average,96,0.05618290237825364,0.048525972672781637,0.0485064207651534
accelerating,linear,96,0.2648200836829238,0.22207966099924928,0.2199416624373386
accelerating,exponential,96,0.12552259732016643,0.10866233272277735,0.10844260447947814
accelerating,accelerating,96,0.04699027060067447,0.03547692089845661,0.03546008622601543
accelerating,decaying_acceleration,96,0.04799448416881829,0.0372179285762021,0.03720092410236458
accelerating,logistic,96,0.12552260014094774,0.10866233793740339,0.10844260968470242
accelerating,change_point,96,0.0549961407043967,0.041467723315300464,0.04144358888293505
accelerating,model_average,96,0.04418756583540144,0.034530411551534,0.0345176045234699
logistic,linear,96,0.1765966486522125,0.16038002219313516,0.15983178813573706
logistic,exponential,96,0.27909779537706975,0.23986812954110692,0.237421028397678
logistic,accelerating,96,0.05826474893907253,0.04801573320956104,0.047992121084703694
logistic,decaying_acceleration,96,0.059307286780761144,0.04896938605854919,0.04894462601384129
logistic,logistic,96,0.05930643009341031,0.04978157588976279,0.04975698224588038
logistic,change_point,96,0.1129785738954864,0.09503675891646592,0.09486554117999157
logistic,model_average,96,0.06061051441971128,0.05028705938415618,0.050260740708084915
change_point,linear,96,0.4305125136511761,0.3278541855171236,0.3183327994790236
change_point,exponential,96,0.3249206692338657,0.25785864633721295,0.25393940248025776
change_point,accelerating,96,0.11683216471808912,0.09386001268346222,0.09366030640359957
change_point,decaying_acceleration,96,0.11567157920377195,0.09108219257225869,0.09088443448690386
change_point,logistic,96,0.32510453863174044,0.2582420036584361,0.2543200686839215
change_point,change_point,96,0.07663166420660071,0.050376159266717235,0.050272950852789766
change_point,model_average,96,0.06593985902618503,0.047582461698978305,0.04753136580920047
